name,tags,description
andymeneely/police-badge,police shield symbol,"Symbol of law enforcement. The best moment to show it, it's to shout \"FBI\" and break the door with a kick."
aussiesim/card-10-clubs,board,Playing card: 10 of clubs
aussiesim/card-10-diamonds,board,Playing card: 10 of diamonds
aussiesim/card-10-hearts,board,Playing card: 10 of hearts
aussiesim/card-10-spades,board,Playing card: 10 of spades
aussiesim/card-2-clubs,board,Playing card: 2 of clubs
aussiesim/card-2-diamonds,board,Playing card: 2 of diamonds
aussiesim/card-2-hearts,board,Playing card: 2 of hearts
aussiesim/card-2-spades,board,Playing card: 2 of spades
aussiesim/card-3-clubs,board,Playing card: 3 of clubs
aussiesim/card-3-diamonds,board,Playing card: 3 of diamonds
aussiesim/card-3-hearts,board,Playing card: 3 of hearts
aussiesim/card-3-spades,board,Playing card: 3 of spades
aussiesim/card-4-clubs,board,Playing card: 4 of clubs
aussiesim/card-4-diamonds,board,Playing card: 4 of diamonds
aussiesim/card-4-hearts,board,Playing card: 4 of hearts
aussiesim/card-4-spades,board,Playing card: 4 of spades
aussiesim/card-5-clubs,board,Playing card: 5 of clubs
aussiesim/card-5-diamonds,board,Playing card: 5 of diamonds
aussiesim/card-5-hearts,board,Playing card: 5 of hearts
aussiesim/card-5-spades,board,Playing card: 5 of spades
aussiesim/card-6-clubs,board,Playing card: 6 of clubs
aussiesim/card-6-diamonds,board,Playing card: 6 of diamonds
aussiesim/card-6-hearts,board,Playing card: 6 of hearts
aussiesim/card-6-spades,board,Playing card: 6 of spades
aussiesim/card-7-clubs,board,Playing card: 7 of clubs
aussiesim/card-7-diamonds,board,Playing card: 7 of diamonds
aussiesim/card-7-hearts,board,Playing card: 7 of hearts
aussiesim/card-7-spades,board,Playing card: 7 of spades
aussiesim/card-8-clubs,board,Playing card: 8 of clubs
aussiesim/card-8-diamonds,board,Playing card: 8 of diamonds
aussiesim/card-8-hearts,board,Playing card: 8 of hearts
aussiesim/card-8-spades,board,Playing card: 8 of spades
aussiesim/card-9-clubs,board,Playing card: 9 of clubs
aussiesim/card-9-diamonds,board,Playing card: 9 of diamonds
aussiesim/card-9-hearts,board,Playing card: 9 of hearts
aussiesim/card-9-spades,board,Playing card: 9 of spades
aussiesim/card-ace-clubs,board,Playing card: ace of clubs
aussiesim/card-ace-diamonds,board,Playing card: ace of diamonds
aussiesim/card-ace-hearts,board,Playing card: ace of hearts
aussiesim/card-ace-spades,board,Playing card: ace of spades
aussiesim/card-jack-clubs,board,Playing card: jack of clubs
aussiesim/card-jack-diamonds,board,Playing card: jack of diamonds
aussiesim/card-jack-hearts,board,Playing card: jack of hearts
aussiesim/card-jack-spades,board,Playing card: jack of spades
aussiesim/card-king-clubs,board,Playing card: king of clubs
aussiesim/card-king-diamonds,board,Playing card: king of diamonds
aussiesim/card-king-hearts,board,Playing card: king of hearts
aussiesim/card-king-spades,board,Playing card: king of spades
aussiesim/card-queen-clubs,board,Playing card: queen of clubs
aussiesim/card-queen-diamonds,board,Playing card: queen of diamonds
aussiesim/card-queen-hearts,board,Playing card: queen of hearts
aussiesim/card-queen-spades,board,Playing card: queen of spades
carl-olsen/brutal-helm,hat medieval-fantasy,Long horns on each side of this helmet.
carl-olsen/crossbow,arrow weapon,The Middle-Ages version of automatic riffles is much more powerful than a simple bow.
carl-olsen/flame,fire,Dancing flames over the shadow.
carl-olsen/mite-alt,animal insect,A friendly bug living in your cabinet.
carl-olsen/spider-alt,animal insect,Placing webs in every corner to capture small insects for dinner.
carl-olsen/spider-face,animal insect,Staring at you during your sleep.
cathelineau/annexation,action arrow map world-wars,"All your bases belong to us!
A military invasion in an enemy country to take it under permanent control."
cathelineau/bad-gnome,celtic creature,An evil ball of fur with a mask and a cap.
cathelineau/battleship,boat sea world-wars,A heavy armored warship navigating the seven seas.
cathelineau/boar-ensign,celtic mammal,A wild pig emblem
cathelineau/carnyx,celtic sound,Gallic trumpet designed to howl a disturbing war-song.
cathelineau/carrier,boat sea,A floating military airport which serves as a tactical advanced position.
cathelineau/chariot,greek-roman vehicle,A light vehicle pulled by horses in epic races on sand tracks.
cathelineau/cruiser,boat sea,A medium recognition frigate with a few cannons with a few cannons.
cathelineau/dread,state,Intense fear about a danger.
cathelineau/dreadnought,boat sea smoke,A massive battleship from the Royal Navy.
cathelineau/earth-worm,animal,The small and gooey invertebrate living in moist underground doesn't want to go fishing.
cathelineau/flying-trout,animal bird celtic fish wing,When you are both a bird and a fish and you're comfortable with it.
cathelineau/fomorian,celtic creature death zombie,Ancient and hideous folk haunting cemeteries like zombies. They will remain lonely souls for eternity.
cathelineau/great-war-tank,vehicle world-wars,A heavy armored tank on the battlefield.
